код;;ПРАЙС 01.10.2020;Количество;Гарантия;"Рекомендуемая
 розничная
 цена";Цена!
;;;;;;
;;;;;;
;;;;;;147
;;;;;;550
;;;;;;370
;Телевизоры и аксессуары для TV;;;;;
66072;;"Телевизор LED LG 24"" 24TK410V-PZ (1366x768 (HD), частота матрицы 50 Гц) чёрный ";;24;;143,5
52184;;"Телевизор LED LG 27.5"" 28MT49S-PZ (1366x768, 16:9, Smart TV WebOS, Wi-Fi)";;12;;192
65177;;"Телевизор LED LG 49"" 49LK5910PLC (1920x1080 (Full HD), частота матрицы 50 Гц, Smart TV (LG webOS), HDR, Wi-Fi)";;24;;450
62602;;"Телевизор LED LG 49"" 49UK6300PLB (3840x2160 (4K UHD), матрица IPS, частота матрицы 50 Гц, Smart TV (LG webOS), HDR, Wi-Fi)";;24;;470
;Компьютеры;;;;;
;Платформы;;;;;
65788;;"Платформа Intel NUC Kit BLKNUC7I3DNH2E (i3-7100U, 2.4 ГГц, HDMI, GbLAN,M.2, Sata 2.5, 2DDR4 SODIMM)
(ТОЛЬКО В СОСТАВЕ ПЭВМ N-TECH)";;24;;285
54279;;Платформа Intel NUC Kit BOXNUC7I3BNH (i3-7100U, 2.4 ГГц, HDMI, GbLAN,M.2, 2DDR4 SODIMM);;24;;285
63730;;Платформа Intel NUC Kit BOXNUC8i3BEH2 (i3-8109U, 3.0 ГГц, HDMI, GbLAN,M.2,Sata 2.5, 2DDR4 SODIMM);;24;;295
64292;;Платформа Intel NUC Kit BOXNUC8I5BEH2 (i5-8259U, 3.8 ГГц, HDMI, GbLAN, M.2,Sata 2.5, 2DDR4 SODIMM) ;;24;;395
;;;;;;
;;;;;;180
;Тонкие клиенты;;;;;
64235;;Кабель USB- microUSB с кнопкой включения, чёрный;;0;;2,4
62784;;Корпус для Raspberry (МC001921 DEVT BOARD ENCLOSURE, PC, GREY, CLEAR);;0;;6
;Ноутбуки и аксессуары;;;;;
;ASUS;;;;;
70900;;"Ноутбук ASUS TUF Gaming FX505DV-HN249 (15.6"" 1920 x 1080 IPS, AMD Ryzen 7 3750H 2300 МГц, 16 ГБ, SSD 512 ГБ, граф. адаптер: NVIDIA GeForce RTX 2060 6 ГБ, без ОС, цвет крышки темно-серый)";;12;;1079,2
71055;;"Ноутбук ASUS VivoBook 15 X512DA-EJ1236 (15.6"" 1920 x 1080 TN+Film, AMD Ryzen 3 3250U 2600 МГц, 8 ГБ, SSD 256 ГБ, граф. адаптер: встроенный, без ОС, цвет крышки серый)";;12;;467
;Сумка/ Чехол;;;;;
66195;;"Сумка для ноутбука 15,6"" MIRU CasualTop (1004) (15.6"", нейлон/полиэстер, цвет черный, 30*40*6 cм)";;3;;10
66192;;"Сумка для ноутбука 15,6"" MIRU ClassTop (1001) (15.6"", нейлон/полиэстер, цвет черный, 30*40*6 см)";;3;;8
68619;;"Сумка для ноутбука 15,6"" MIRU GrayBag (1011) (15.6"", цвет серый)";;3;;8
66193;;"Сумка для ноутбука 15,6"" MIRU LoadTop (1002) (15.6"", нейлон/полиэстер, цвет черный, 30*40*6 см)";;3;;8
